veiculo_titulo,veiculo_link_lote,veiculo_imagem,veiculo_patio_uf,veiculo_ano_fabricacao,veiculo_km,veiculo_valor_lance_atual,veiculo_situacao,veiculo_data_leilao,veiculo_tipo_combustivel,veiculo_cor,veiculo_possui_chave,veiculo_tipo_retomada,veiculo_tipo,veiculo_valor_fipe,veiculo_modelo,veiculo_fabricante,veiculo_patio_uf_localizacao
RENAULT/KWID INTENSE 2 (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/renault/kwid-intense-2-(4p)/ano.2025/b670d2bb-1ac0-11f0-abeb-02420a0000a3,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751895592312_3bd31a62-caeb-4a25-adfb-f1cc188aa25c_pequena_leilo.webp,AM,2024,24.346,39000.00,Leilão ao vivo em: 11h32m59s,10/07/2025,Flex,Azul,Sim,Recuperado de Financiamento,Carros,64030.00,N/A,N/A,PATIO MANAUS (MANAUS/AM)
CHEVROLET/ONIX 10MT LT2,https://leilo.com.br/leilao/manaus-amazonas/carros/chevrolet/onix-10mt-lt2/ano.2024/7f120aa8-3025-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/8/1751994814685_6f2eaca2-8367-4262-b67e-826871f03cb4_pequena_leilo.webp,AM,2023,40.624 km,39800.00,Leilão ao vivo em: 11h33m56s,10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NISSAN/KICKS ADVANCE (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/nissan/kicks-advance-(4p)/ano.2023/48200090-30d4-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751894670832_0e7cec70-5a32-4590-82da-de3785921a2f_pequena_leilo.webp,AM,2023,50.101,65000.00,Leilão ao vivo em: 11h34m53s,10/07/2025,Flex,Azul,Sim,Recuperado de Financiamento,Carros,104939.00,N/A,N/A,PATIO MANAUS (MANAUS/AM)
RENAULT/KWID ZEN 1.0 MECANICO (4P),https://leilo.com.br/leilao/benevides-para/carros/renault/kwid-zen-1.0-mecanico-(4p)/ano.2022/17bc715f-413f-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/8/1751976723282_901b0704-087f-47c5-aac4-71e9e1e0a085_pequena_leilo.webp,PA,2021,97.773 km,25800.00,Leilão ao vivo em: 11h35m20s,10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/GOL MC4 (4P/2P),https://leilo.com.br/leilao/manaus-amazonas/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2021/4737d48e-373f-11f0-bd5d-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751894701528_a57eef9e-a0ec-4ae7-b38f-4b979551d6b3_pequena_leilo.webp,AM,2020,91.792,22000.00,Leilão ao vivo em: 11h35m48s,10/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,48960.00,N/A,N/A,PATIO MANAUS (MANAUS/AM)
VOLKSWAGEN/GOL MC4 (4P/2P),https://leilo.com.br/leilao/benevides-para/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2021/d781b413-eacd-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/8/1752006000827_609d6f63-8abe-4b70-b404-1e2f68f8d32d_pequena_leilo.webp,PA,2020,73.156,30200.00,Leilão ao vivo em: 11h37m16s,10/07/2025,Flex,Cinza,Sim,Recuperado de Financiamento,Carros,48960.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
CHEVROLET/ONIX JOY BLACK,https://leilo.com.br/leilao/benevides-para/carros/chevrolet/onix-joy-black/ano.2021/80c8c86a-5b5d-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/9/1752083581088_813813d6-ac9f-4152-8541-5ac41dd60945_pequena_leilo.webp,PA,2020,78.548 km,32500.00,Leilão ao vivo em: 11h38m13s,10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/BEETLE (2P),https://leilo.com.br/leilao/benevides-para/carros/volkswagen/beetle-(2p)/ano.2009/a63fbcd6-5678-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751665473420_e24a7181-1754-43c2-acec-3955644ad122_pequena_leilo.webp,PA,2008,64.901 km,29900.00,Leilão ao vivo em: 11h39m10s,10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/GOL MC4 (4P/2P),https://leilo.com.br/leilao/manaus-amazonas/carros/volkswagen/gol-mc4-(4p%2F2p)/ano.2021/b60f2e96-5b3d-11ef-ae95-02420a0000a0,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751636011489_461e22e9-9ec9-44dd-90ca-6749e95131d2_pequena_leilo.webp,AM,2021,287.513,24000.00,Leilão ao vivo em: 11h43m7s,10/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,49461.00,N/A,N/A,PATIO MANAUS (MANAUS/AM)
FORD/FIESTA 1.6 FLEX (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/ford/fiesta-1.6-flex-(4p)/ano.2012/f32a8773-141c-11ee-81dc-02420a000018,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751635983300_f1dc7c54-66b8-41b4-8da4-1a04a091b8d7_pequena_leilo.webp,AM,2012,N/A,12000.00,Leilão ao vivo em: 11h44m2s,10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIAT/MOBI LIKE (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/fiat/mobi-like-(4p)/ano.2020/a18433e5-25fe-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751636072975_67625eae-2eab-4093-87b5-43389684cf7c_pequena_leilo.webp,AM,2019,110.977,24700.00,Leilão ao vivo em: 11h44m28s,10/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,44825.00,N/A,N/A,PATIO MANAUS (MANAUS/AM)
FORD/FOCUS HATCH (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/ford/focus-hatch-(4p)/ano.2007/2a59addb-24fd-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751635950663_b6c9bbbb-b5f7-4d35-9adf-7144fed09abf_pequena_leilo.webp,AM,2006,241.338,5300.00,Leilão ao vivo em: 11h44m56s,10/07/2025,Gasolina,Vermelha,Sim,Recuperado de Financiamento,Carros,19303.00,N/A,N/A,PATIO MANAUS (MANAUS/AM)
CHEVROLET/ONIX 1.0 TURBO AUTOMATICO PREMIER2,https://leilo.com.br/leilao/benevides-para/carros/chevrolet/onix-1.0-turbo-automatico-premier2/ano.2023/d8012862-1bcf-11f0-abeb-02420a0000a3,https://leilo.cdndp.com.br/v1/arquivo/2025/7/8/1751977052880_4ab236fa-de73-41e8-bca8-238263d28c46_pequena_leilo.webp,PA,2023,20.686,53000.00,Leilão ao vivo em: 11h50m23s,10/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,89813.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
CHEVROLET/ONIX 10TMT LTZ,https://leilo.com.br/leilao/benevides-para/carros/chevrolet/onix-10tmt-ltz/ano.2021/d76b3b5a-196f-11f0-bf87-02420a000088,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896202657_980025c4-2b91-47fb-a6b1-3eced8cf4e5a_pequena_leilo.webp,PA,2021,134.484 km,38500.00,Leilão ao vivo em: 11h50m50s,10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/ONIX 10TAT LTZ,https://leilo.com.br/leilao/benevides-para/carros/chevrolet/onix-10tat-ltz/ano.2024/5e61ef49-359a-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896170426_c55a11f9-cf0e-43c8-82b9-8df0c908fe9c_pequena_leilo.webp,PA,2024,19.138,54900.00,Leilão ao vivo em: 11h51m17s,10/07/2025,Flex,Azul,Sim,Recuperado de Financiamento,Carros,93342.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
FORD/KA HATCH SE 1.0 C (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/ford/ka-hatch-se-1.0-c-(4p)/ano.2020/521a5eac-ad06-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896173757_ed57f080-6096-4cbf-9649-db752fc75cb9_pequena_leilo.webp,AM,2019,162.718,24000.00,Leilão ao vivo em: 11h51m44s,10/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,49786.00,N/A,N/A,PATIO MANAUS (MANAUS/AM)
VOLKSWAGEN/POLO SEDAN 1.6 (4P),https://leilo.com.br/leilao/benevides-para/carros/volkswagen/polo-sedan-1.6-(4p)/ano.2012/6e9e950f-df51-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751897341448_04479e77-7ef4-4a6b-959e-12a19792d090_pequena_leilo.webp,PA,2011,264.709,19000.00,Leilão ao vivo em: 11h52m11s,10/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,38388.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
RENAULT/LOGAN EXPRESSION 1016V (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/renault/logan-expression-1016v-(4p)/ano.2012/3f6dedd9-09a2-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751897214875_bcc51859-8a00-400b-b90e-ffb7df67fe58_pequena_leilo.webp,AM,2011,140.611,11000.00,Leilão ao vivo em: 11h52m37s,10/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,22158.00,N/A,N/A,PATIO MANAUS (MANAUS/AM)
FORD/FIESTA 1.6 FLEX (4P),https://leilo.com.br/leilao/benevides-para/carros/ford/fiesta-1.6-flex-(4p)/ano.2014/f79e521b-0102-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896082249_040093b4-360a-49b8-a96b-4b3215401c3f_pequena_leilo.webp,PA,2013,78.298,17000.00,Leilão ao vivo em: 11h53m4s,10/07/2025,Flex,Vermelha,Sim,Recuperado de Financiamento,Carros,35732.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
FIAT/UNO ATTRACTIVE (4P),https://leilo.com.br/leilao/benevides-para/carros/fiat/uno-attractive-(4p)/ano.2015/d18e2852-214c-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896084753_bd078eac-d652-456a-a2d3-9827aff8e4ae_pequena_leilo.webp,PA,2014,159.316 km,17000.00,Leilão ao vivo em: 11h53m31s,10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FORD/FIESTA 1.6 FLEX (4P),https://leilo.com.br/leilao/benevides-para/carros/ford/fiesta-1.6-flex-(4p)/ano.2009/1c7eaec8-0049-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896054391_5d1bf073-45e4-4bff-9532-4299084b8e12_pequena_leilo.webp,PA,2009,140.049,11000.00,Leilão ao vivo em: 11h53m58s,10/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,26496.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
CHEVROLET/SPIN LTZ 1.8L AUTOMATICO,https://leilo.com.br/leilao/manaus-amazonas/carros/chevrolet/spin-ltz--1.8l-automatico/ano.2017/65934348-300a-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896020939_57a544f9-67ed-4f0c-b29f-b165168e7655_pequena_leilo.webp,AM,2016,365.268,30000.00,Leilão ao vivo em: 11h54m24s,10/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,61569.00,N/A,N/A,PATIO MANAUS (MANAUS/AM)
FIAT/SIENA ATTRACTIVE (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/fiat/siena-attractive-(4p)/ano.2014/e72a35ed-34bf-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751895990422_ee97d844-9bb9-4c98-9a21-5f8b95314906_pequena_leilo.webp,AM,2013,N/A,14000.00,Leilão ao vivo em: 11h54m49s,10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/JETTA (4P),https://leilo.com.br/leilao/benevides-para/carros/volkswagen/jetta-(4p)/ano.2008/7add0d2d-2b88-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896996866_8c6ac169-dc32-46ff-b869-dffc0292d393_pequena_leilo.webp,PA,2008,260.947,18000.00,Leilão ao vivo em: 11h55m16s,10/07/2025,Gasolina,Prata,Sim,Recuperado de Financiamento,Carros,36825.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
FORD/KA HATCH SE 1.0 B (4P),https://leilo.com.br/leilao/benevides-para/carros/ford/ka-hatch-se-1.0-b-(4p)/ano.2017/e05c2925-f083-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751897082215_f43bb67a-589b-4119-ac9e-d41ec5f876b6_pequena_leilo.webp,PA,2016,95.614,19000.00,Leilão ao vivo em: 11h55m44s,10/07/2025,N/A,Branca,Sim,Recuperado de Financiamento,Carros,39260.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
VOLKSWAGEN/GOL RALLYE (4P/2P),https://leilo.com.br/leilao/benevides-para/carros/volkswagen/gol-rallye-(4p%2F2p)/ano.2012/2defbcb0-f6ac-11ef-9028-02420a000044,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751895901139_862f679c-fc2a-4cf3-b042-3b8496e4657f_pequena_leilo.webp,PA,2011,271.594,16000.00,Leilão ao vivo em: 11h56m11s,10/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,32282.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
VOLKSWAGEN/VOYAGE 1.0 (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/volkswagen/voyage-1.0-(4p)/ano.2010/05cee7dd-300e-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751895905344_c1bdb262-f814-4393-ac97-7cd4014aafa7_pequena_leilo.webp,AM,2009,156.722,13000.00,Leilão ao vivo em: 11h56m38s,10/07/2025,Flex,Cinza,Sim,Recuperado de Financiamento,Carros,26099.00,N/A,N/A,PATIO MANAUS (MANAUS/AM)
VOLKSWAGEN/NOVO FOX TRENDLINE MB (4P/2P),https://leilo.com.br/leilao/benevides-para/carros/volkswagen/novo-fox-trendline-mb-(4p%2F2p)/ano.2016/bbfbe0b4-2c4b-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751895840749_626b5689-0fa6-4629-ab76-180f210b20a1_pequena_leilo.webp,PA,2015,N/A,23000.00,Leilão ao vivo em: 11h57m2s,10/07/2025,Flex,Branca,Sim,Recuperado de Financiamento,Carros,47460.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
RENAULT/LOGAN EXPRESSION (4P),https://leilo.com.br/leilao/benevides-para/carros/renault/logan-expression-(4p)/ano.2017/519b99d5-09bf-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751895844107_8b8fb7d2-ed99-4628-bfca-eca5bbee4840_pequena_leilo.webp,PA,2016,98.708,19000.00,Leilão ao vivo em: 11h57m30s,10/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,38069.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
VOLKSWAGEN/NOVO GOL CITY (2P/4P),https://leilo.com.br/leilao/benevides-para/carros/volkswagen/novo-gol-city-(2p%2F4p)/ano.2014/61f4b89b-19fd-11f0-bf87-02420a000088,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751895812759_90470f8c-e440-4f32-b16c-26635807dada_pequena_leilo.webp,PA,2013,83.373 km,15200.00,Leilão ao vivo em: 11h57m56s,10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/FOX ROCK IN RIO (4P/2P),https://leilo.com.br/leilao/benevides-para/carros/volkswagen/fox-rock-in-rio-(4p%2F2p)/ano.2014/3227982e-0027-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751895781467_67b668a6-c442-4770-98fd-30dd3f6dac70_pequena_leilo.webp,PA,2013,195.751,21000.00,Leilão ao vivo em: 11h58m10s,10/07/2025,Flex,Vermelha,Sim,Recuperado de Financiamento,Carros,42938.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
FORD/KA HATCH SE 1.0 B (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/ford/ka-hatch-se-1.0-b-(4p)/ano.2018/13b6dc29-3d5c-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751895750629_fc888914-66aa-4e14-9cf7-04c62637dcc8_pequena_leilo.webp,AM,2017,91.067,22500.00,Leilão ao vivo em: 11h58m37s,10/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,40856.00,N/A,N/A,PATIO MANAUS (MANAUS/AM)
CHEVROLET/PRISMA LT (4P),https://leilo.com.br/leilao/manaus-amazonas/carros/chevrolet/prisma-lt-(4p)/ano.2014/d3f52534-4399-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751895754136_35bc11eb-bc5a-4888-8a31-fc7966be7c5d_pequena_leilo.webp,AM,2014,399.364,20000.00,Leilão ao vivo em: 11h59m4s,10/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,41859.00,N/A,N/A,PATIO MANAUS (MANAUS/AM)
FORD/FIESTA FLEX (4P),https://leilo.com.br/leilao/benevides-para/carros/ford/fiesta-flex-(4p)/ano.2010/b6a2e70f-ff79-11ef-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751895723390_64a8230b-f0b7-4f72-b772-69429a4377ac_pequena_leilo.webp,PA,2009,197.870,10000.00,Leilão ao vivo em: 11h59m31s,10/07/2025,Flex,Vermelha,Sim,Recuperado de Financiamento,Carros,23811.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
CHEVROLET/AGILE LTZ (2P/4P),https://leilo.com.br/leilao/benevides-para/carros/chevrolet/agile-ltz-(2p%2F4p)/ano.2011/f51431c6-04d1-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751896805854_a8b4ec51-73e7-44bd-833b-bc456323e849_pequena_leilo.webp,PA,2010,171.255,16000.00,Leilão ao vivo em: 11h59m58s,10/07/2025,Flex,Verde,Sim,Recuperado de Financiamento,Carros,32989.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
FIAT/SIENA EL FLEX (4P),https://leilo.com.br/leilao/benevides-para/carros/fiat/siena-el-flex-(4p)/ano.2012/31347411-4394-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/8/1751978524916_57fe9700-cb91-4e18-afac-7186a30061e5_pequena_leilo.webp,PA,2011,122.675 km,16000.00,Leilão ao vivo em: 12h1m25s,10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FORD/KA HATCH SE 1.0 B (4P),https://leilo.com.br/leilao/benevides-para/carros/ford/ka-hatch-se-1.0-b-(4p)/ano.2018/25ac99ec-2c17-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/8/1751982121412_5337f66c-35f5-4383-8908-af11f2d33100_pequena_leilo.webp,PA,2017,138.627 km,22500.00,Leilão ao vivo em: 12h1m52s,10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIAT/UNO ATTRACTIVE (4P/2P),https://leilo.com.br/leilao/benevides-para/carros/fiat/uno-attractive-(4p%2F2p)/ano.2016/9e2163fe-3a31-11f0-9677-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/8/1751982095114_131ae3b5-4886-401f-97cc-fdfee66c854e_pequena_leilo.webp,PA,2015,N/A,20700.00,Leilão ao vivo em: 12h2m17s,10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RENAULT/KWID INTENSE (4P),https://leilo.com.br/leilao/benevides-para/carros/renault/kwid-intense-(4p)/ano.2022/cfaaa5c5-fe79-11ef-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/8/1751978550488_2419782b-3ac3-43e4-bd80-887b313f751b_pequena_leilo.webp,PA,2021,72.516,27000.00,Leilão ao vivo em: 12h3m14s,10/07/2025,Flex,Vermelha,Sim,Recuperado de Financiamento,Carros,50710.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
HYUNDAI/CRETA A ACTION,https://leilo.com.br/leilao/benevides-para/carros/hyundai/creta-a-action/ano.2022/e775cb77-115e-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751665535328_a1f92134-b863-43b8-aee9-06ca025e36f6_pequena_leilo.webp,PA,2021,74.415,56000.00,Leilão ao vivo em: 12h3m41s,10/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,92735.00,N/A,N/A,BENEVIDES-PA (BENEVIDES/PA)
CHEVROLET/ONIX PLUS JOY BLACK,https://leilo.com.br/leilao/manaus-amazonas/carros/chevrolet/onix-plus-joy-black/ano.2021/6818bcb7-da88-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751665530455_1cee535d-b938-4dd5-b6a4-74ace5dc9843_pequena_leilo.webp,AM,2021,159.827,33000.00,Leilão ao vivo em: 12h4m8s,10/07/2025,Flex,Preta,Sim,Recuperado de Financiamento,Carros,60466.00,N/A,N/A,PATIO MANAUS (MANAUS/AM)
CHEVROLET/ONIX 10MT HB,https://leilo.com.br/leilao/manaus-amazonas/carros/chevrolet/onix-10mt-hb/ano.2023/8cc46adc-2daa-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/7/1751895601400_cae74414-6259-4eb2-9f33-dc2ae7f253ba_pequena_leilo.webp,AM,2023,112.229,38000.00,Leilão ao vivo em: 12h4m36s,10/07/2025,Flex,Prata,Sim,Recuperado de Financiamento,Carros,69001.00,N/A,N/A,PATIO MANAUS (MANAUS/AM)
